date,origin_station,day_type,ridership
2017-10-21,,Saturday,
2017-10-22,,Sunday,
2017-10-23,,Weekday,
2017-10-24,,Weekday,
2017-10-25,,Weekday,
2017-10-26,,Weekday,
2017-10-27,,Weekday,
2017-10-28,,Saturday,
2017-10-29,,Sunday,
2017-10-30,,Weekday,
2017-10-31,,Weekday,
2017-11-01,,Weekday,
2017-11-02,,Weekday,
2017-11-03,Not Available,Weekday,1234691.0
2017-11-04,Not Available,Saturday,96206.99999999999
2017-11-05,Not Available,Sunday,51310.4
2017-11-06,,Weekday,
2017-11-07,,Weekday,
2017-11-08,,Weekday,
2017-11-09,,Weekday,
2017-11-10,,Weekday,
2017-11-11,,Saturday,
2017-11-12,,Sunday,
2017-11-13,,Weekday,
2017-11-14,,Weekday,
2017-11-15,,Weekday,
2017-11-16,,Weekday,
2017-11-17,,Weekday,
2017-11-18,,Saturday,
2017-11-19,,Sunday,
2017-11-20,,Weekday,
2017-11-21,,Weekday,
2017-11-22,,Weekday,
2017-11-23,Not Available,Holiday,32069.0
2017-11-24,,Saturday,
2017-11-25,,Saturday,
2017-11-26,,Sunday,
2017-11-27,,Weekday,
2017-11-28,,Weekday,
2017-11-29,,Weekday,
2017-11-30,,Weekday,
2017-12-01,Not Available,Weekday,1111489.0
2017-12-02,Not Available,Saturday,84688.2
2017-12-03,Not Available,Sunday,56458.80000000001
2017-12-04,,Weekday,
2017-12-05,,Weekday,
2017-12-06,,Weekday,
2017-12-07,,Weekday,
2017-12-08,,Weekday,
2017-12-09,,Sunday,
2017-12-10,,Sunday,
2017-12-11,,Weekday,
2017-12-12,,Weekday,
2017-12-13,,Weekday,
2017-12-14,,Weekday,
2017-12-15,,Weekday,
2017-12-16,,Saturday,
2017-12-17,,Sunday,
2017-12-18,,Weekday,
2017-12-19,,Weekday,
2017-12-20,,Weekday,
2017-12-21,,Weekday,
2017-12-22,,Weekday,
2017-12-23,,Saturday,
2017-12-24,,Saturday,
2017-12-25,Not Available,Holiday,28229.0
2017-12-26,,Weekday,
2017-12-27,,Weekday,
2017-12-28,,Weekday,
2017-12-29,,Weekday,
2017-12-30,,Saturday,
2017-12-31,,Sunday,
2018-01-01,Not Available,Holiday,30129.0
2018-01-02,,Weekday,
2018-01-03,,Weekday,
2018-01-04,,Weekday,
2018-01-05,Not Available,Weekday,1254406.0
2018-01-06,Not Available,Saturday,72305.4
2018-01-07,Not Available,Sunday,48203.600000000006
2018-01-08,,Weekday,
2018-01-09,,Weekday,
2018-01-10,,Weekday,
2018-01-11,,Weekday,
2018-01-12,,Weekday,
2018-01-13,,Saturday,
2018-01-14,,Sunday,
2018-01-15,,Weekday,
2018-01-16,,Weekday,
2018-01-17,,Weekday,
2018-01-18,,Weekday,
2018-01-19,,Weekday,
2018-01-20,,Saturday,
2018-01-21,,Sunday,
2018-01-22,,Weekday,
2018-01-23,,Weekday,
2018-01-24,,Weekday,
2018-01-25,,Weekday,
2018-01-26,,Weekday,
2018-01-27,,Saturday,
2018-01-28,,Sunday,
2018-01-29,,Weekday,
2018-01-30,,Weekday,
2018-01-31,,Weekday,
2018-02-01,,Weekday,
2018-02-02,Not Available,Weekday,1133474.0
2018-02-03,Not Available,Saturday,75045.59999999999
2018-02-04,Not Available,Sunday,50030.4
2018-02-05,,Weekday,
2018-02-06,,Weekday,
2018-02-07,,Weekday,
2018-02-08,,Weekday,
2018-02-09,,Weekday,
2018-02-10,,Saturday,
2018-02-11,,Sunday,
2018-02-12,,Weekday,
2018-02-13,,Weekday,
2018-02-14,,Weekday,
2018-02-15,,Weekday,
2018-02-16,,Weekday,
2018-02-17,,Saturday,
2018-02-18,,Sunday,
2018-02-19,Not Available,Holiday,31270.0
2018-02-20,,Weekday,
2018-02-21,,Weekday,
2018-02-22,,Weekday,
2018-02-23,,Weekday,
2018-02-24,,Saturday,
2018-02-25,,Sunday,
2018-02-26,,Weekday,
2018-02-27,,Weekday,
2018-02-28,,Weekday,
2018-03-01,,Weekday,
2018-03-02,Not Available,Weekday,1305999.0
2018-03-03,Not Available,Saturday,94644.0
2018-03-04,Not Available,Sunday,50476.8
2018-03-05,,Weekday,
2018-03-06,,Weekday,
2018-03-07,,Weekday,
2018-03-08,,Weekday,
2018-03-09,,Weekday,
2018-03-10,,Saturday,
2018-03-11,,Sunday,
2018-03-12,,Weekday,
2018-03-13,,Weekday,
2018-03-14,,Weekday,
2018-03-15,,Weekday,
2018-03-16,,Weekday,
2018-03-17,,Saturday,
2018-03-18,,Sunday,
2018-03-19,,Weekday,
2018-03-20,,Weekday,
2018-03-21,,Weekday,
2018-03-22,,Weekday,
2018-03-23,,Weekday,
2018-03-24,,Saturday,
2018-03-25,,Sunday,
2018-03-26,,Weekday,
2018-03-27,,Weekday,
2018-03-28,,Weekday,
2018-03-29,,Weekday,
2018-03-30,,Weekday,
2018-03-31,,Saturday,
2018-04-01,,Sunday,
2018-04-02,,Weekday,
2018-04-03,,Weekday,
2018-04-04,,Weekday,
2018-04-05,,Weekday,
2018-04-06,Not Available,Weekday,1306028.0
2018-04-07,Not Available,Saturday,76719.59999999999
2018-04-08,Not Available,Sunday,63932.8
2018-04-09,,Weekday,
2018-04-10,,Weekday,
2018-04-11,,Weekday,
2018-04-12,,Weekday,
2018-04-13,,Weekday,
2018-04-14,,Saturday,
2018-04-15,,Sunday,
2018-04-16,,Weekday,
2018-04-17,,Weekday,
2018-04-18,,Weekday,
2018-04-19,,Weekday,
2018-04-20,,Weekday,
2018-04-21,,Saturday,
2018-04-22,,Sunday,
2018-04-23,,Weekday,
2018-04-24,,Weekday,
2018-04-25,,Weekday,
2018-04-26,,Weekday,
2018-04-27,,Weekday,
2018-04-28,,Saturday,
2018-04-29,,Sunday,
2018-04-30,,Weekday,
2018-05-01,,Weekday,
2018-05-02,,Weekday,
2018-05-03,,Weekday,
2018-05-04,,Weekday,
2018-05-05,,Saturday,
2018-05-06,,Sunday,
2018-05-07,,Weekday,
2018-05-08,,Weekday,
2018-05-09,,Weekday,
2018-05-10,,Weekday,
2018-05-11,,Weekday,
2018-05-12,,Saturday,
2018-05-13,,Sunday,
2018-05-14,,Weekday,
2018-05-15,,Weekday,
2018-05-16,,Weekday,
2018-05-17,,Weekday,
2018-05-18,,Weekday,
2018-05-19,,Saturday,
2018-05-20,,Sunday,
2018-05-21,,Weekday,
2018-05-22,,Weekday,
2018-05-23,,Weekday,
2018-05-24,,Weekday,
2018-05-25,Not Available,Weekday,1382108.0
2018-05-26,Not Available,Saturday,77703.59999999999
2018-05-27,Not Available,Sunday,51802.0
2018-05-28,Not Available,Holiday,32376.0
2018-05-29,,Weekday,
2018-05-30,,Weekday,
2018-05-31,,Weekday,
2018-06-01,Not Available,Weekday,1371799.0
2018-06-02,Not Available,Saturday,99366.59999999998
2018-06-03,Not Available,Sunday,52995.600000000006
2018-06-04,,Weekday,
2018-06-05,,Weekday,
2018-06-06,,Weekday,
2018-06-07,,Weekday,
2018-06-08,,Weekday,
2018-06-09,,Saturday,
2018-06-10,,Sunday,
2018-06-11,,Weekday,
2018-06-12,,Weekday,
2018-06-13,,Weekday,
2018-06-14,,Weekday,
2018-06-15,,Weekday,
2018-06-16,,Saturday,
2018-06-17,,Sunday,
2018-06-18,,Weekday,
2018-06-19,,Weekday,
2018-06-20,,Weekday,
2018-06-21,,Weekday,
2018-06-22,,Weekday,
2018-06-23,,Saturday,
2018-06-24,,Sunday,
2018-06-25,,Weekday,
2018-06-26,,Weekday,
2018-06-27,,Weekday,
2018-06-28,,Weekday,
2018-06-29,,Weekday,
2018-06-30,,Saturday,
2018-07-01,,Sunday,
2018-07-02,,Weekday,
2018-07-03,,Weekday,
2018-07-04,Not Available,Holiday,31989.0
2018-07-05,,Weekday,
2018-07-06,Not Available,Weekday,1353136.0
2018-07-07,Not Available,Saturday,76776.0
2018-07-08,Not Available,Sunday,63980.0
2018-07-09,,Weekday,
2018-07-10,,Weekday,
2018-07-11,,Weekday,
2018-07-12,,Weekday,
2018-07-13,,Weekday,
2018-07-14,,Saturday,
2018-07-15,,Sunday,
2018-07-16,,Weekday,
2018-07-17,,Weekday,
2018-07-18,,Weekday,
2018-07-19,,Weekday,
2018-07-20,,Weekday,
2018-07-21,,Saturday,
2018-07-22,,Sunday,
2018-07-23,,Weekday,
2018-07-24,,Weekday,
2018-07-25,,Weekday,
2018-07-26,,Weekday,
2018-07-27,,Weekday,
2018-07-28,,Saturday,
2018-07-29,,Sunday,
2018-07-30,,Weekday,
2018-07-31,,Weekday,
2018-08-01,,Weekday,
2018-08-02,,Weekday,
2018-08-03,Not Available,Weekday,1456813.0
2018-08-04,Not Available,Saturday,76665.0
2018-08-05,Not Available,Sunday,51109.600000000006
2018-08-06,,Weekday,
2018-08-07,,Weekday,
2018-08-08,,Weekday,
2018-08-09,,Weekday,
2018-08-10,,Weekday,
2018-08-11,,Saturday,
2018-08-12,,Sunday,
2018-08-13,,Weekday,
2018-08-14,,Weekday,
2018-08-15,,Weekday,
2018-08-16,,Weekday,
2018-08-17,,Weekday,
2018-08-18,,Saturday,
2018-08-19,,Sunday,
2018-08-20,,Weekday,
